tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
444,08:20.0,15:44.5,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,34039,Customer,1970,0
240,11:14.2,15:14.4,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,40975,Customer,1970,0
534,11:25.6,20:20.5,3193,Lincoln Park,40.7246051,-74.07840595,3280,Astor Place,40.7192822,-74.07126188,44731,Customer,1970,0
2119,11:59.6,47:18.6,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3681,Grand St,40.71517768,-74.03768331,43803,Customer,1970,0
2100,12:25.3,47:25.4,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3681,Grand St,40.71517768,-74.03768331,44236,Customer,1970,0
210,13:44.9,17:15.8,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,32598,Customer,1970,0
1823,14:11.1,44:34.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3276,Marin Light Rail,40.71458404,-74.04281706,42396,Customer,1970,0
772,14:13.0,27:05.5,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,42432,Subscriber,1962,1
703,20:06.4,31:49.9,3192,Liberty Light Rail,40.7112423,-74.0557013,3278,Monmouth and 6th,40.72568548,-74.04879034,46265,Subscriber,1958,1
322,25:15.6,30:38.2,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,44283,Subscriber,1993,1
1942,26:07.7,58:30.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3184,Paulus Hook,40.7141454,-74.0335519,44555,Customer,1970,0
299,27:46.3,32:45.5,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,49081,Customer,1970,0
1824,27:50.3,58:14.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3184,Paulus Hook,40.7141454,-74.0335519,45256,Customer,1970,0
482,28:54.9,36:57.0,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42432,Subscriber,1962,1
1919,32:15.6,04:15.3,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,47252,Customer,1970,0
148,35:36.8,38:05.5,3185,City Hall,40.7177325,-74.043845,3275,Columbus Drive,40.7183552,-74.03891444,45091,Customer,1970,0
6328,35:48.3,21:16.4,3198,Heights Elevator,40.74871595,-74.0404433,3198,Heights Elevator,40.74871595,-74.0404433,45014,Customer,1970,0
6345,35:56.3,21:41.3,3198,Heights Elevator,40.74871595,-74.0404433,3198,Heights Elevator,40.74871595,-74.0404433,42240,Customer,1970,0
1327,35:56.3,58:03.9,3213,Van Vorst Park,40.71848892,-74.04772663,3202,Newport PATH,40.7272235,-74.0337589,39055,Customer,1970,0
6299,36:41.7,21:41.5,3196,Riverview Park,40.7443187,-74.0439909,3198,Heights Elevator,40.74871595,-74.0404433,44358,Customer,1970,0
710,36:47.7,48:37.7,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,44687,Customer,1970,0
176,37:47.3,40:43.3,3187,Warren St,40.7211236,-74.03805095,3639,Harborside,40.7192517,-74.034234,32349,Subscriber,1987,1
6191,38:24.7,21:36.1,3196,Riverview Park,40.7443187,-74.0439909,3198,Heights Elevator,40.74871595,-74.0404433,54268,Customer,1970,0
404,38:49.2,45:34.1,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,43416,Customer,1970,0
1298,39:51.2,01:29.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42432,Subscriber,1962,1
1581,40:13.1,06:34.8,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,45354,Customer,1970,0
981,41:31.4,57:52.9,3184,Paulus Hook,40.7141454,-74.0335519,3681,Grand St,40.71517768,-74.03768331,38891,Subscriber,1990,1
498,41:33.4,49:52.1,3638,Washington St,40.7242941,-74.0354826,3186,Grove St PATH,40.71958612,-74.04311746,30680,Customer,1970,0
212,44:54.7,48:26.9,3185,City Hall,40.7177325,-74.043845,3272,Jersey & 3rd,40.72333159,-74.04595256,42159,Customer,1970,0
439,45:26.5,52:45.8,3212,Christ Hospital,40.73478582,-74.05044364,3211,Newark Ave,40.72152515,-74.04630454,39740,Customer,1970,0
348,46:22.6,52:11.1,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,44283,Subscriber,1993,1
376,46:53.7,53:10.7,3214,Essex Light Rail,40.7127742,-74.0364857,3638,Washington St,40.7242941,-74.0354826,18220,Customer,1970,0
4262,48:10.9,59:13.4,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,39571,Customer,1970,0
603,48:29.0,58:33.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3272,Jersey & 3rd,40.72333159,-74.04595256,43974,Customer,1970,0
725,50:56.0,03:01.9,3202,Newport PATH,40.7272235,-74.0337589,3211,Newark Ave,40.72152515,-74.04630454,28426,Customer,1970,0
466,53:22.3,01:09.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3276,Marin Light Rail,40.71458404,-74.04281706,46538,Customer,1970,0
